ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,VICTIMA,ACUSADO,ROL_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,CALLE,CRUCE,LATITUD,LONGITUD,DIA_SEMANA
2017-0089,1,2017-07-13,2017,7,13,12,MARTINIANO LEGUIZAMON 901,CALLE,SD,AUTO,SD,MASCULINO,23,"LEGUIZAMON, MARTINIANO",,-58.51514709,-34.64787051,Thursday
2017-0090,1,2017-07-15,2017,7,15,5,AV. CHIVILCOY Y COLECTORA AV. GRAL. PAZ ,GRAL PAZ,PEATON,AUTO,PEATON,MASCULINO,22,CHIVILCOY AV.,"PAZ, GRAL. AV.",-58.51925642,-34.59171721,Saturday
2017-0091,1,2017-07-15,2017,7,15,13,SUPERI Y AV. GRAL. PAZ,GRAL PAZ,MOTO,SD,CONDUCTOR,MASCULINO,58,SUPERI,"PAZ, GRAL. AV.",-58.48671535,-34.54321216,Saturday
2017-0092,1,2017-07-24,2017,7,24,22,AU 25 DE MAYO Y AU FRONDIZI (9 DE JULIO SUR),AUTOPISTA,PEATON,AUTO,PEATON,MASCULINO,66,AUTOPISTA 25 DE MAYO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,-58.38268809,-34.62282019,Monday
2017-0093,1,2017-07-25,2017,7,25,16,"AV. LEOPOLDO LUGONES KM 7,5, ALTURA PUENTE SCALABRINI ORTIZ, SENTIDO A CENTRO PORTEÑO",AUTOPISTA,PEATON,AUTO,PEATON,MASCULINO,,"LUGONES, LEOPOLDO AV.",PUENTE DISTRIBUIDOR SCALABRINI ORTIZ,-58.43633522,-34.54966288,Tuesday
2017-0094,1,2017-07-27,2017,7,27,8,VICTOR HUGO 2639,CALLE,BICICLETA,CARGAS,CICLISTA,FEMENINO,56,"HUGO, VICTOR",,-58.52640838,-34.61765855,Thursday
2017-0095,1,2017-08-06,2017,8,6,8,AV. CORDOBA Y JERONIMO SALGUERO,AVENIDA,MOTO,AUTO,CONDUCTOR,MASCULINO,36,CORDOBA AV.,"SALGUERO, JERONIMO",-58.41894306,-34.59778875,Sunday
2017-0096,1,2017-08-07,2017,8,7,19,AV. CABILDO Y NUÑEZ,AVENIDA,PEATON,PASAJEROS,PEATON,MASCULINO,87,CABILDO AV.,NU?EZ,-58.46756026,-34.54972741,Monday
2017-0098,1,2017-08-08,2017,8,8,12,JOSE BONIFACIO 2114,CALLE,PEATON,AUTO,PEATON,FEMENINO,61,"BONIFACIO, JOSE",,-58.45715752,-34.63132912,Tuesday
2017-0099,1,2017-08-17,2017,8,17,19,AV. PTE FIGUEROA ALCORTA 5400,AVENIDA,BICICLETA,AUTO,CICLISTA,MASCULINO,28,"FIGUEROA ALCORTA, PRES. AV.",,-58.42406784,-34.56213916,Thursday
2017-0100,1,2017-08-21,2017,8,21,7,VENEZUELA 2135,CALLE,MOTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,FEMENINO,16,REPUBLICA BOLIVARIANA DE VENEZUELA,,-58.3967447,-34.61512051,Monday
2017-0101,1,2017-08-23,2017,8,23,10,AV. FCO. LACROZE Y ZAPATA,AVENIDA,PEATON,MULTIPLE,PEATON,FEMENINO,61,"LACROZE, FEDERICO AV.",ZAPATA,-58.44537508,-34.57084818,Wednesday
2017-0102,1,2017-08-24,2017,8,24,1,IRIARTE Y ZAVALETA,AVENIDA,PEATON,CARGAS,PEATON,MASCULINO,46,"IRIARTE, GRAL. AV.",ZAVALETA,-58.40056767,-34.6510708,Thursday
2017-0104,1,2017-08-25,2017,8,25,9,AV. 9 DE JULIO Y ESTADOS UNIDOS,AVENIDA,PEATON,CARGAS,PEATON,FEMENINO,18,9 DE JULIO AV.,ESTADOS UNIDOS,-58.38109568,-34.61853244,Friday
2017-0106,1,2017-08-31,2017,8,31,19,FRAY JUSTO SANTAMARIA DE ORO Y GUEMES,CALLE,PEATON,PASAJEROS,PEATON,FEMENINO,85,FRAY JUSTO SANTAMARIA DE ORO,GUEMES,-58.42533612,-34.58035258,Thursday
2017-0107,1,2017-09-01,2017,9,1,11,AV. DEL LIBERTADOR Y JARAMILLO,AVENIDA,MOTO,CARGAS,CONDUCTOR,MASCULINO,41,DEL LIBERTADOR AV.,JARAMILLO,-58.46062311,-34.54395182,Friday
2017-0108,2,2017-09-02,2017,9,2,4,AV. GRAL. PAZ Y MACHAIN,GRAL PAZ,OBJETO FIJO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,17,"PAZ, GRAL. AV.",MACHAIN,-58.49491054,-34.54795581,Saturday
2017-0108,2,2017-09-02,2017,9,2,4,AV. GRAL. PAZ Y MACHAIN,GRAL PAZ,OBJETO FIJO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,10,"PAZ, GRAL. AV.",MACHAIN,-58.49491054,-34.54795581,Saturday
2017-0109,1,2017-09-04,2017,9,4,21,AV. DIRECTORIO Y PORTELA,AVENIDA,MOTO,AUTO,CONDUCTOR,MASCULINO,21,DIRECTORIO AV.,PORTELA,-58.47130269,-34.63665402,Monday
2017-0110,1,2017-09-06,2017,9,6,14,LAVALLE Y AV. LEANDRO N ALEM,AVENIDA,PEATON,PASAJEROS,PEATON,MASCULINO,56,LAVALLE,"ALEM, LEANDRO N. AV.",-58.370488,-34.60189492,Wednesday
2017-0111,1,2017-09-07,2017,9,7,18,USPALLATA Y PIROVANO,CALLE,PEATON,CARGAS,PEATON,FEMENINO,79,USPALLATA,PIROVANO,-58.42023854,-34.6423411,Thursday
2017-0112,2,2017-09-10,2017,9,10,9,AU 25 DE MAYO Y AV. VARELA,AUTOPISTA,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,MASCULINO,1,AUTOPISTA 25 DE MAYO,,-58.45807401,-34.6399743,Sunday
